source,entity_type,credential_type,credential_number,linked_licensee_number,name,abn_acn,locality,state,postcode,start_date,end_date,status,latitude,longitude,distance_km,dataset_url
asic_credit_licensee,licensee,acl,507815,507815,CORPORATE MOTOR BROKERS PTY. LTD.,52079306737,MELBOURNE,VIC,3004,2018-11-12,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,507897,507897,AAI MEI STORE PTY LTD,623081685,HAWTHORN,VIC,3122,2018-12-20,,APPR,-37.8244246,145.0317207,6.15,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,508445,508445,ZINNKER CAPITAL PTY LTD,77624773815,TEMPLESTOWE,VIC,3106,2018-07-23,,APPR,-37.7540588,145.1486152,17.60,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,508522,508522,THE FINANCIERS GROUP CAPITAL PTY LTD,88624247721,DOCKLANDS,VIC,3008,2019-01-01,,APPR,-37.8175423,144.9394923,2.12,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,508530,508530,AUSTRALIAWIDE FINANCE AND LEASING PTY LTD,72057670032,WAVERLEY,VIC,3150,2018-07-09,,APPR,-37.8796677499999,145.162916248939,19.02,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,508687,508687,AUSWIDE LENDING PTY LTD,39626047774,KILSYTH,VIC,3137,2018-07-27,,APPR,-37.8037844,145.3134593,30.80,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,508791,508791,"LIM, ANNIE CHLOE HWA",0,CAULFIELD EAST,VIC,3145,2018-09-04,,APPR,-37.881276,145.0420847,10.23,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,508919,508919,SK FINANCE AUSTRALIA PTY LTD,26625422326,TRUGANINA,VIC,3029,2018-07-30,,APPR,-37.8089015,144.721139,21.26,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,508920,508920,MELBOURNE FINANCE BROKERS PTY. LTD.,74151721112,LALOR,VIC,3075,2019-02-12,,APPR,-37.662922,145.003955,17.14,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,509103,509103,PROACTIVE LENDING SOLUTIONS PTY LTD,83609107173,MELTON SOUTH,VIC,3338,2018-08-29,,APPR,-37.7060279,144.5717723,36.42,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,509106,509106,TOP CHOICE FINANCE GROUP PTY LTD,44624906949,BELLFIELD,VIC,3081,2019-02-07,,APPR,-37.7531065,145.0384784,9.44,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
asic_credit_licensee,licensee,acl,509125,509125,AEXPHL GROUP PTY LTD,42622654255,MELBOURNE,VIC,3004,2018-08-08,,APPR,-37.8142454,144.9631732,0.07,https://data.gov.au/data/dataset/fa0b0d71-b8b8-4af8-bc59-0b000ce0d5e4/resource/3abf1383-c4e5-4c1a-8331-8434b17b6f10/download/credit_lic_202602.tsv
